,act_n,dist_rank,genre_rank,direct_rank,네이버_기대지수,star_buzz,movie_buzz_naver,google_trend,Target
285,115,8,5,67,574.0,151,3,1102.0,0
286,38,3,15,67,45099.0,21,85,0.0,1
287,121,4,3,59,3084.0,933,41,0.0,0
288,101,8,13,45,3259.0,561,43,521.0,0
289,120,4,3,50,24306.0,1890,108,323.0,0
290,56,8,13,67,42.0,85,3,0.0,0
291,4,1,11,67,25769.0,289,19,701.0,1
292,17,3,9,70,3042.0,514,6,0.0,0
293,40,8,5,67,163.0,310,4,0.0,0
294,61,6,13,67,2715.0,419,7,784.0,0
295,11,8,11,67,6376.0,177,2,401.0,0
296,74,3,3,67,4920.0,1051,6,838.0,0
297,92,2,3,73,155.0,856,6,1365.0,0
298,96,5,8,66,6696.0,1631,5,628.0,0
299,46,8,3,67,7026.0,591,6,449.0,0
300,65,2,13,46,13930.0,1692,14,486.0,1
301,80,4,13,67,1218.0,638,5,2696.0,0
302,35,7,15,86,20349.0,486,150,419.0,0
303,15,8,13,67,73.0,103,1,266.0,0
304,128,1,13,67,4647.0,940,43,611.0,0
305,14,8,8,67,901.0,323,4,193.0,0
306,127,3,13,67,202.0,182,5,403.0,0
307,102,1,13,16,10378.0,1622,16,577.0,0
308,60,8,13,67,308.0,295,3,290.0,0
309,63,4,13,67,466.0,557,13,0.0,1
310,46,5,7,67,383.0,1119,39,800.0,1
311,151,8,2,30,279.0,716,4,0.0,0
312,213,1,3,16,2185.0,1925,39,924.0,0
313,89,2,13,67,423.0,841,53,2308.0,0
314,71,3,9,67,7106.0,889,7,827.0,0
315,75,4,3,52,2752.0,996,44,265.0,1
316,161,2,13,32,6378.0,2610,100,0.0,0
317,113,1,3,49,1079.0,1377,14,478.0,0
318,151,5,8,67,1050.0,1200,14,901.0,0
319,54,9,15,67,586.0,38,0,395.0,0
320,79,3,9,67,165.0,300,10,1697.0,1
321,93,8,8,67,7921.0,1713,8,0.0,0
322,38,8,9,67,250.0,150,2,0.0,0
323,100,1,3,67,6730.0,1357,35,1186.0,1
324,57,3,10,67,366.0,259,1,576.0,0
325,153,8,3,67,205.0,530,22,733.0,0
326,60,6,5,67,262.0,654,23,534.0,0
327,47,6,10,67,3832.0,808,14,1857.0,0
328,33,6,7,67,126.0,466,7,392.0,0
329,151,7,13,67,3010.0,1047,6,726.0,0
330,90,5,13,40,1025.0,1172,38,1029.0,0
331,15,8,13,98,68.0,94,0,489.0,0
332,170,1,3,67,2278.0,1837,28,2140.0,1
333,88,6,13,67,1090.0,221,8,175.0,0
334,5,9,13,67,88.0,174,5,100.0,0
335,57,3,10,57,0.0,1251,131,500.0,1
336,41,8,7,67,0.0,547,83,854.0,0
337,74,4,8,67,0.0,679,62,0.0,0
338,63,3,5,6,0.0,2558,176,741.0,1
339,59,3,8,67,0.0,700,46,0.0,0
340,10,8,15,67,0.0,2,4,200.0,0
341,16,3,6,67,0.0,46,9,369.0,0
342,87,8,5,67,0.0,1423,429,705.0,1
343,18,8,8,67,0.0,397,61,524.0,0
344,155,8,13,64,0.0,272,86,505.0,0
345,9,8,13,67,0.0,53,2,967.0,0
346,22,4,11,67,0.0,630,33,0.0,1
347,28,2,8,67,0.0,464,62,367.0,1
348,50,2,5,67,0.0,770,42,267.0,0
349,69,8,9,67,0.0,991,72,486.0,1
350,44,3,3,67,0.0,752,142,292.0,0
351,4,8,13,67,0.0,2,4,0.0,0
352,252,1,8,4,0.0,1260,256,570.0,0
353,121,4,13,67,0.0,247,52,1007.0,0
354,77,1,5,67,0.0,978,63,752.0,0
355,66,1,8,71,0.0,806,80,628.0,0
356,51,7,13,39,0.0,440,75,785.0,1
357,108,2,8,74,0.0,808,76,448.0,0
358,74,2,8,30,0.0,1380,132,638.0,1
359,81,1,5,42,0.0,821,184,509.0,1
360,63,4,13,65,0.0,532,90,385.0,0
361,87,3,2,14,0.0,1800,267,583.0,1
362,108,3,13,27,0.0,1383,171,676.0,0
363,33,3,11,67,0.0,938,77,453.0,1
364,8,8,13,67,0.0,308,9,451.0,0
365,87,3,8,26,0.0,1219,211,1018.0,0
366,6,8,13,67,0.0,103,33,0.0,0
367,82,3,13,36,0.0,1186,240,731.0,1
368,42,8,13,93,0.0,94,12,296.0,0
369,79,1,13,7,0.0,1230,118,751.0,0
370,42,9,12,67,0.0,149,6,0.0,0
371,77,2,10,67,0.0,874,54,601.0,1
372,85,4,2,2,0.0,1288,151,722.0,1
373,58,8,13,77,0.0,374,37,311.0,0
374,52,8,10,67,0.0,258,41,334.0,0
375,7,4,13,61,0.0,237,73,468.0,0
376,55,8,13,67,0.0,14,2,0.0,0
377,38,4,10,68,0.0,1382,88,949.0,1
378,69,8,3,50,0.0,971,92,533.0,0
379,76,2,8,41,0.0,926,138,0.0,1
380,160,2,8,9,0.0,782,92,431.0,1
381,135,8,9,69,0.0,79,11,0.0,0
382,61,2,10,67,0.0,1954,168,770.0,0
383,21,2,13,81,0.0,221,44,328.0,1
384,42,4,7,54,0.0,537,43,1010.0,1
385,87,4,11,67,0.0,283,2,1435.0,0
386,137,3,11,17,0.0,1213,92,754.0,1
387,68,8,13,67,0.0,80,4,0.0,0
388,8,9,13,62,0.0,132,13,0.0,0
389,20,8,13,96,0.0,51,20,308.0,0
390,64,8,11,67,0.0,9,6,0.0,0
391,5,8,13,67,0.0,0,2,0.0,1
392,2,4,15,67,0.0,30,6,0.0,0
393,48,2,7,67,0.0,713,85,502.0,1
394,37,8,13,83,0.0,388,36,1000.0,0
395,82,1,8,67,0.0,1035,132,671.0,1
396,16,8,7,67,0.0,136,8,416.0,0
397,48,4,10,55,0.0,933,124,556.0,1
398,77,2,3,31,54.0,1292,101,2232.0,1
399,56,9,8,13,0.0,45,10,0.0,0
400,5,3,10,78,0.0,123,25,453.0,0
401,50,1,13,67,0.0,2010,154,623.0,1
402,49,3,13,67,1420.0,828,74,864.0,0
403,12,8,7,67,0.0,86,15,156.0,0
404,172,3,13,67,12784.0,2210,323,884.0,1
405,5,8,10,67,0.0,80,11,856.0,0
406,148,3,13,10,0.0,1558,305,599.0,1
407,52,9,14,67,0.0,190,24,524.0,0
408,182,8,13,29,0.0,1755,177,976.0,0
409,24,8,8,67,0.0,23,1,200.0,0
410,84,2,13,11,0.0,2130,299,824.0,1
411,116,4,13,67,0.0,818,54,707.0,0
412,98,3,5,67,0.0,164,38,784.0,0
413,70,3,8,72,0.0,524,57,1376.0,1
414,57,4,2,67,5465.0,1177,175,492.0,0
415,70,8,7,67,2224.0,180,9,1397.0,0
416,97,8,13,67,0.0,535,77,464.0,0
417,71,8,13,67,15.0,14,2,0.0,0
418,126,1,5,67,0.0,1184,102,552.0,0
419,72,8,13,90,0.0,245,25,1058.0,0
420,75,1,5,1,0.0,2070,173,600.0,1
421,25,8,15,67,60.0,0,10,0.0,0
422,37,4,8,60,0.0,311,38,408.0,0
423,54,8,13,67,0.0,49,8,0.0,0
424,7,4,13,67,5.0,1,0,1104.0,0
425,22,8,13,67,0.0,132,19,522.0,1
426,56,3,3,44,0.0,885,103,484.0,0
427,109,2,3,67,0.0,1174,107,442.0,1
428,62,2,10,67,0.0,1007,76,1002.0,1
429,57,4,3,23,0.0,1157,223,414.0,1
430,44,3,12,3,0.0,2670,433,557.0,0
431,56,7,13,67,0.0,85,31,539.0,0
432,87,4,4,40,0.0,881,67,539.0,0
433,64,1,7,25,0.0,338,27,512.0,0
434,84,3,13,67,0.0,1271,64,450.0,0
435,11,8,8,67,0.0,369,39,0.0,0
436,69,4,13,28,0.0,62,29,494.0,1
437,36,3,13,67,0.0,1230,131,706.0,0
438,16,1,11,67,744.0,750,74,604.0,1
439,101,1,13,61,9189.0,1083,124,476.0,0
440,34,3,12,27,0.0,1380,210,880.0,0
441,8,1,5,67,0.0,456,0,0.0,0
442,43,1,8,67,0.0,1125,72,1036.0,0
443,6,8,13,67,0.0,55,0,590.0,0
444,37,2,13,14,0.0,865,86,986.0,1
445,60,3,13,84,0.0,206,21,404.0,0
446,122,1,7,67,0.0,440,42,375.0,0
447,227,2,5,12,62978.0,3120,0,540.0,1
448,96,3,3,49,5953.0,1189,85,969.0,0
449,60,3,10,67,4059.0,1427,116,369.0,0
450,191,4,2,41,4570.0,1216,159,459.0,0
451,41,3,6,67,7780.0,1656,132,1096.0,0
452,69,5,5,67,479.0,101,27,519.0,0
453,71,3,7,67,5113.0,916,92,615.0,1
454,83,3,2,2,13639.0,2010,339,551.0,1
455,94,5,8,53,4930.0,1576,172,545.0,0
456,60,4,9,34,8640.0,612,94,0.0,0
457,94,1,3,16,12198.0,2051,224,682.0,1
458,101,1,2,71,8746.0,2430,188,466.0,0
459,58,8,10,67,8499.0,1428,136,615.0,1
460,46,8,13,67,1262.0,372,60,629.0,0
461,27,8,13,67,223.0,114,7,496.0,0
462,149,1,3,67,46891.0,1065,157,496.0,1
463,17,8,13,67,301.0,104,17,271.0,0
464,5,7,15,83,9464.0,555,83,658.0,1
465,68,4,7,55,2717.0,1302,158,0.0,0
466,168,3,2,63,12459.0,1718,278,761.0,0
467,33,8,13,67,252.0,74,15,409.0,0
468,50,6,13,67,31698.0,1800,140,2248.0,0
469,79,8,5,67,3298.0,805,0,344.0,0
470,75,2,7,67,3993.0,685,78,465.0,0
471,35,8,10,67,117.0,42,9,100.0,0
472,243,8,13,64,47687.0,882,0,456.0,1
473,45,2,8,67,3408.0,561,43,622.0,1
474,83,2,2,31,8397.0,1154,173,770.0,0
475,5,9,13,98,210.0,50,10,483.0,0
476,42,5,13,40,8002.0,904,79,763.0,1
477,167,4,2,35,20348.0,1973,195,463.0,1
478,20,9,15,67,101.0,12,1,100.0,0
479,51,3,9,21,30.0,1408,135,480.0,1
480,42,3,7,67,5658.0,755,55,464.0,0
481,3,8,13,67,119.0,12,7,0.0,0
482,142,2,13,36,8257.0,1703,160,715.0,0
483,97,3,13,67,6179.0,707,63,0.0,0
484,76,3,13,36,163.0,1859,148,1059.0,1
485,120,1,2,40,22459.0,2043,209,1098.0,1
486,143,2,8,67,6556.0,502,50,687.0,0
487,58,3,13,67,1727.0,345,57,525.0,0
488,171,2,8,78,39795.0,1101,198,1509.0,0
489,18,8,14,67,1407.0,260,11,550.0,0
490,179,2,6,67,17219.0,1050,310,650.0,1
491,36,8,13,67,194.0,82,8,387.0,0
492,21,8,15,67,81.0,34,4,0.0,0
493,49,6,13,67,6860.0,778,51,957.0,0
494,88,2,10,67,5486.0,1604,135,929.0,0
495,36,8,13,96,182.0,216,23,312.0,0
496,64,8,5,67,2734.0,996,101,782.0,0
497,228,3,13,68,1192.0,268,37,784.0,0
498,41,3,3,60,101.0,34,4,797.0,0
499,58,6,13,67,5046.0,809,119,488.0,0
500,37,8,13,81,614.0,247,29,712.0,0
501,108,3,10,43,12076.0,2040,265,735.0,0
502,91,3,5,6,9952.0,2913,230,414.0,1
503,20,8,3,67,619.0,263,10,0.0,0
504,66,8,15,67,0.0,17,4,100.0,0
505,10,9,13,67,33.0,103,7,0.0,0
506,85,8,3,33,8238.0,947,97,389.0,0
507,61,3,10,67,19766.0,1860,174,456.0,1
508,21,8,10,97,316.0,129,5,1441.0,0
509,97,8,13,67,1296.0,966,91,0.0,0
510,53,4,13,67,0.0,1672,201,599.0,0
511,85,3,5,76,2136.0,1299,138,539.0,0
512,69,8,13,67,1465.0,887,64,1910.0,0
513,98,6,13,84,3583.0,585,107,1639.0,0
514,24,3,7,43,0.0,718,75,161.0,0
515,100,1,2,8,0.0,2580,129,831.0,1
516,85,1,5,22,0.0,1590,131,685.0,1
517,65,3,13,82,1496.0,478,108,454.0,1
518,31,8,9,67,124.0,113,25,993.0,0
519,49,8,10,67,0.0,93,2,0.0,0
520,70,6,9,67,3750.0,632,51,678.0,1
521,3,8,15,67,291.0,150,34,0.0,0
522,92,2,13,67,28626.0,908,232,385.0,1
523,98,3,2,80,7092.0,1234,93,531.0,0
524,78,1,3,26,2407.0,1253,127,461.0,1
525,140,4,3,77,2252.0,953,103,1323.0,0
526,3,8,8,67,259.0,95,4,397.0,0
527,48,3,5,47,1717.0,1233,19,589.0,1
528,49,1,5,18,1320.0,1151,192,791.0,1
529,50,8,15,67,155.0,223,4,0.0,0
530,119,4,2,15,6255.0,2407,265,528.0,0
531,5,3,10,35,0.0,909,42,794.0,0
532,39,8,7,67,0.0,165,7,1155.0,0
533,7,8,8,67,0.0,300,1,516.0,0
534,70,8,8,77,0.0,750,66,497.0,1
535,8,8,11,66,0.0,75,7,610.0,0
536,65,8,10,67,4017.0,1099,80,794.0,0
537,44,8,7,67,0.0,69,14,100.0,0
538,45,8,8,56,0.0,350,70,293.0,1
539,45,2,8,67,0.0,810,71,666.0,1
540,7,2,10,67,0.0,484,34,942.0,0
541,50,8,7,67,0.0,132,4,807.0,0
542,9,8,10,67,0.0,903,51,245.0,0
543,60,8,13,67,2564.0,302,45,1486.0,0
544,88,6,13,67,48999.0,1809,318,1860.0,0
545,67,3,10,67,7380.0,1423,146,783.0,0
546,110,8,13,32,7157.0,2051,325,0.0,1
547,146,8,8,67,3469.0,115,11,297.0,0
548,33,3,13,67,606.0,137,31,190.0,0
549,59,2,8,13,27413.0,2084,193,865.0,1
550,3,8,10,92,430.0,161,10,586.0,0
551,115,1,5,1,20846.0,2733,225,1726.0,1
552,338,1,5,44,21361.0,1860,137,353.0,0
553,32,5,14,95,1766.0,411,31,976.0,0
554,80,6,8,67,2529.0,528,34,646.0,0
555,102,8,13,58,0.0,659,139,513.0,1
556,132,6,13,93,194.0,210,46,1162.0,0
557,10,8,8,67,75.0,2,0,1924.0,0
558,133,3,10,67,15600.0,1637,165,514.0,0
559,29,3,7,67,5302.0,628,45,846.0,1
560,29,3,15,67,8651.0,1572,55,0.0,1
561,86,4,13,67,2953.0,1158,174,417.0,0
562,6,8,9,67,50.0,19,4,0.0,0
563,56,3,10,86,0.0,339,0,1871.0,0
564,2,8,13,67,111.0,91,15,914.0,0
565,91,8,8,67,633.0,292,34,337.0,1
566,6,9,13,67,236.0,124,13,294.0,0
567,46,8,8,67,202.0,20,0,493.0,0
568,58,3,7,67,21671.0,2589,131,744.0,0
569,103,3,3,73,1932.0,772,131,487.0,1
570,73,3,13,5,13693.0,1987,219,947.0,1
571,70,2,13,72,10731.0,1196,124,886.0,0
572,148,4,1,5,4941.0,1413,379,0.0,1
573,32,7,8,100,247.0,147,25,459.0,0
574,295,3,13,67,13877.0,1830,61,2593.0,1
